"Achternaam",
"ahd_id","Bovenliggend ID in MF"
"Auteur",
"Beroep",
"Beschrijving",
"bj","Beginjaar"
"bn","Bestandsnaam"
"CATTWD","Trefwoord"
"code",
"CXTWD_PLAATSNAAM","Contexttoegang Trefwoord Plaatsnaam"
"CXTWD_STRAATNAAM","Contexttoegang Trefwoord Straatnaam"
"CXTWD_VERVAARDIGER","Contexttoegang Trefwoord Vervaardiger"
"Datering",
"Datering_toegang",
"Datum_beeld",
"Datum_vervaardiging",
"Deelcollectie",
"ej","Eindjaar"
"FNC_COUNT_SCANS",
"fnc_digi_aanvragen",
"FNC_DTM",
"fnc_image_root",
"fnc_nummerreeks",
"fnc_pad_watermerk",
"FNC_STRIP",
"fnc_use_watermerk",
"fnc_vrij_downloaden",
"Formaat_binnen",
"Formaat_buiten",
"Geboortedatum",
"Geboorteplaats",
"Huisnummer",
"id","ID in MF"
"Jaar_openbaar",
"moveup",
"nb",
"Notabene",
"oai",
"obr","Openbaar vanaf(?)"
"Omvang",
"Openbaarheid",
"or","Orde"
"ov","Omvang"
"parent",
"pe","Periode"
"Plaats",
"Rechtstitel",
"Rol",
"rt",
"Soort_kaart",
"Straat",
"Techniek",
"THTWD","Thema trefwoord"
"Titel",
"Toegangstitel",
"TR","Trefwoord"
"tr","Trefwoord"
"Transfix",
"Tussenvoegsel",
"Uiterlijke_vorm",
"Veld Code","Veld Omschrijving"
"Vervaardigers",
"vlgnr","Volgnummer"
"Voornaam",
"Wijk",
"Zie_ook_verwijzing",
"zo","Zie ook"
